adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,negative_words,positive_words,ratio_function_to_content_words,grade,index_text
0.06897,0.08621,0.60345,82.48659,0.39655,1.0,2.31429,7.25,0.17241,8,8,58,0.13793,0.27586,0.05172,0.05172,0.0,0.0,0.0,146885.82857,4.79874,4.58389,4363.75,3.8565,3.8565,3.586,3.586,5.47576,5.32766,0.21429,8.87277,631.89503,0.03448,0.74138,0.10345,0.0,0.05172,0.0,0.03448,0.0,0.03448,0.0,0.01724,3.5,4.6,1.88889,7.9375,1.33046,5.1875,9.625,0.70294,1.52174,0.28571,0.42857,0.14286,0.17857,0.42857,0.28571,0.28571,0.77892,0.03979,0.75766,0.0,0.77892,0.03979,0.8278,0.05451,0.85019,0.05882,0.22857,0.6,0.65714,"[4, 3, 4, 4]",0
0.04615,0.07385,0.54769,73.31679,0.45231,1.21429,2.41011,9.55882,0.16615,28,34,325,0.19385,0.26154,0.08615,0.06154,0.00923,0.00308,0.00923,484644.3764,4.4361,4.4538,19249.15152,2.28742,2.27715,2.61424,2.69309,5.4306,5.46232,0.22078,12.88669,722.80725,0.08704,0.57412,0.16923,0.00615,0.06769,0.0,0.08615,0.0,0.07385,0.0,0.01846,5.30769,1.72727,1.92857,11.41026,1.69835,6.67647,17.70588,0.72338,1.21088,0.57576,3.0303,0.93939,0.79144,0.72727,0.4492,0.54545,0.75948,0.14937,0.74748,0.06725,0.79332,0.13851,0.8507,0.12015,0.92435,0.07122,0.10112,0.44944,0.82584,"[4, 3, 5, 5]",1
0.04255,0.08511,0.59574,78.88417,0.40426,1.0,2.21429,7.83333,0.19149,6,6,47,0.19149,0.2766,0.08511,0.04255,0.02128,0.02128,0.0,184860.14286,3.98504,4.21757,936.33333,0.96833,0.96833,2.33433,2.33433,5.00466,5.08009,0.45455,7.98831,2340.937,0.10638,0.89362,0.10638,0.0,0.04255,0.0,0.06383,0.0,0.04255,0.0,0.0,5.0,4.5,2.2,9.0,1.50529,6.08333,12.0,0.81789,1.47368,0.0,1.2,0.2,0.33333,0.0,0.06667,0.0,0.74157,0.06453,0.75114,0.0,0.74157,0.06453,0.81451,0.04482,0.83649,0.04581,0.25,0.35714,0.67857,"[3, 1, 5, 3]",2
0.08824,0.07353,0.57353,85.17418,0.42647,1.25,2.28205,6.8,0.17647,8,10,68,0.17647,0.23529,0.05882,0.01471,0.01471,0.0,0.02941,325646.17949,4.66813,4.46746,413966.2,3.3515,3.1841,3.36,3.2649,5.45572,5.41296,0.4375,9.07505,1038.42172,0.05882,0.75,0.14706,0.01471,0.01471,0.0,0.10294,0.0,0.07353,0.0,0.02941,5.2,2.4,2.9,9.5625,1.29856,5.55,9.6,0.8383,1.34483,0.0,0.22222,0.11111,0.13333,0.11111,0.17778,0.0,0.64643,0.33009,0.64824,0.37268,0.83929,0.05063,0.77555,0.26787,0.80052,0.2374,0.10256,0.48718,0.74359,"[4, 4, 4, 3]",3
0.01124,0.02247,0.5618,82.9588,0.4382,1.11111,2.22,8.9,0.2809,9,10,89,0.11236,0.24719,0.07865,0.07865,0.0,0.0,0.0,106289.7,4.4533,4.2562,2657.9,2.6552,2.6552,2.7025,2.7025,5.49093,5.35302,0.25,10.36771,533.51726,0.04494,0.58427,0.17978,0.0,0.07865,0.0,0.06742,0.0,0.05618,0.0,0.03371,6.0,5.0,2.2381,12.5,1.54922,6.15,15.3,0.84984,1.28205,0.22222,1.0,0.44444,0.48889,0.77778,0.55556,0.44444,0.53856,0.28755,0.55021,0.0,0.71226,0.11437,0.69298,0.28031,0.73668,0.24667,0.08,0.6,0.78,"[3, 4, 4, 4]",4
0.05056,0.07865,0.55618,70.9173,0.44382,1.0,2.45455,11.86667,0.19101,15,15,178,0.17978,0.23596,0.04494,0.02809,0.00562,0.0,0.01124,306018.81818,4.40687,4.51158,1522.53333,1.58713,1.4404,2.34813,2.1806,5.36052,5.42541,0.125,11.19868,695.58436,0.06038,0.64215,0.1236,0.0,0.02809,0.0,0.07865,0.0,0.05618,0.0,0.01685,4.375,3.57143,2.03571,13.94444,1.35613,5.8,20.53333,0.7043,1.25316,0.35714,1.71429,0.71429,0.50476,1.0,0.50476,0.64286,0.8792,0.05434,0.8448,0.0,0.8792,0.05434,0.90436,0.03882,0.92333,0.03838,0.29293,0.60606,0.79798,"[5, 5, 4, 4]",5
0.0614,0.0614,0.65789,89.18053,0.34211,1.27273,2.01333,8.14286,0.30702,11,14,114,0.09649,0.22807,0.05263,0.05263,0.0,0.0,0.0,303051.90667,4.10397,4.51619,8230.85714,2.42179,2.41621,3.19193,3.15464,4.94948,5.22546,0.56522,9.95794,967.95522,0.028,0.704,0.11404,0.0,0.05263,0.0,0.04386,0.0,0.05263,0.0,0.05263,3.5,2.71429,1.67857,10.73913,1.36679,5.28571,14.78571,0.97291,1.92308,0.53846,0.53846,0.23077,0.0989,0.61538,0.31868,0.30769,0.60677,0.22851,0.59096,0.2373,0.61227,0.22424,0.73911,0.18965,0.78617,0.18625,0.14667,0.29333,0.52,"[4, 4, 3, 4]",6
0.14286,0.06122,0.7551,72.53,0.2449,1.0,2.27027,7.0,0.30612,7,7,49,0.08163,0.2449,0.06122,0.06122,0.0,0.0,0.0,84897.2973,2.69357,2.73249,0.0,0.13314,0.13314,0.18057,0.18057,3.68298,3.67122,0.1,8.23867,1154.96732,0.0,0.83673,0.08163,0.0,0.06122,0.0,0.02041,0.0,0.02041,0.0,0.0,0.0,3.33333,1.42857,11.1,1.42772,5.92857,11.42857,1.02055,3.08333,0.0,0.0,0.16667,0.09524,0.33333,0.42857,0.33333,0.56426,0.12353,0.56476,0.0,0.56426,0.12353,0.67101,0.09072,0.71998,0.11738,0.18919,0.16216,0.32432,"[1, 2, 3, 1]",7
0.0,0.14583,0.58333,92.8035,0.41667,1.0,2.14286,9.6,0.20833,5,5,48,0.16667,0.22917,0.0625,0.0625,0.0,0.0,0.0,491405.96429,4.67611,4.91821,16440.4,1.642,1.4424,2.349,2.3144,5.27006,5.42208,0.0,9.73833,350.25859,0.14583,0.52083,0.125,0.0,0.0625,0.0,0.02083,0.0,0.0625,0.0,0.04167,0.0,3.75,2.2,14.33333,1.44646,6.3,12.8,0.84262,1.4,0.0,0.0,1.5,1.4,2.25,1.7,2.25,0.8324,0.08675,0.81364,0.0,0.8324,0.08675,0.86405,0.03476,0.87428,0.03544,0.17857,0.10714,0.71429,"[2, 3, 3, 2]",8
0.02299,0.04981,0.54789,83.2269,0.45211,1.0,2.20979,12.42857,0.24904,21,21,261,0.19157,0.22605,0.04598,0.04598,0.0,0.0,0.0,648973.67133,4.26563,4.27458,991.52381,1.267,1.14581,1.44243,1.30686,5.23958,5.21773,0.38462,12.12939,663.29069,0.04994,0.61302,0.11111,0.0,0.05747,0.0,0.03448,0.0,0.04981,0.0,0.01916,4.0,4.0,2.71698,10.95918,1.64927,7.11905,21.7619,0.75999,1.21186,0.2,0.8,1.2,0.5,1.55,0.91905,1.1,0.77827,0.07177,0.72576,0.0,0.77827,0.07177,0.83275,0.05474,0.88538,0.05943,0.09091,0.3007,0.82517,"[3, 3, 4, 3]",9
