adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,cw_freq_brwac,cw_freq_bra,min_cw_freq,min_cw_freq_brwac,min_freq_brwac,min_cw_freq_bra,min_freq_bra,freq_brwac,freq_bra,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,cross_entropy,content_density,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,lsa_adj_mean,lsa_adj_std,lsa_all_mean,lsa_all_std,lsa_paragraph_mean,lsa_paragraph_std,lsa_givenness_mean,lsa_givenness_std,lsa_span_mean,lsa_span_std,negative_words,positive_words,ratio_function_to_content_words,grade,index_text
0.11304,0.0,0.65217,92.61854,0.34783,1.0,2.18667,6.05263,0.47826,19,19,115,0.0,0.06087,0.0,0.0,0.0,0.0,0.0,7452.68,2.43193,2.796,125.78947,0.20447,0.20447,0.18868,0.18868,4.12533,4.37634,2.0,15.98713,1071.56288,0.0,0.23062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.0,2.44118,7.0,1.2779,4.5,7.05263,1.06637,1.875,0.0,0.0,1.94444,1.89474,2.77778,2.69006,2.77778,0.81797,0.06181,0.81309,0.0,0.81797,0.06181,0.88079,0.06893,0.89539,0.07357,0.04,0.84,0.53333,"[3, 1, 1, 1]",0
0.0,0.0,0.83117,75.06221,0.16883,1.0,2.07812,11.0,0.80519,7,7,77,0.03896,0.02597,0.01299,0.01299,0.0,0.0,0.0,2125725.34375,2.33433,4.17372,2.71429,0.54414,0.54414,0.555,0.555,3.12282,4.64113,0.0,10.06925,482.10319,0.05195,0.5974,0.07792,0.0,0.05195,0.0,0.02597,0.0,0.02597,0.0,0.0,0.0,0.0,0.95,13.5,1.96576,4.64286,21.71429,1.61275,4.92308,0.5,1.5,3.0,1.38095,3.16667,1.7619,2.66667,0.7499,0.08844,0.6834,0.0,0.7499,0.08844,0.77872,0.08313,0.80421,0.08988,0.0,0.0,0.20312,"[2, 2, 3, 2]",1
0.02642,0.03019,0.6,81.53025,0.4,1.42857,2.33333,6.625,0.24528,28,40,265,0.12453,0.29811,0.0566,0.03396,0.00377,0.00377,0.00755,322575.47799,4.57708,4.59299,442689.58974,3.31851,3.37792,3.83028,3.86777,5.41592,5.44241,0.28947,11.64222,732.02219,0.01048,0.68952,0.07547,0.00755,0.03396,0.0,0.02264,0.0,0.02642,0.0,0.01132,4.57143,3.125,1.42593,11.98684,1.50618,5.725,9.825,1.24493,1.5,0.02564,0.05128,0.17949,0.09744,0.38462,0.23974,0.30769,0.53863,0.26854,0.52429,0.28438,0.66762,0.24291,0.70853,0.2425,0.79284,0.24879,0.20755,0.47799,0.66667,"[3, 1, 5, 3]",2
0.03191,0.06383,0.57979,82.53389,0.42021,1.0,2.26606,10.44444,0.30319,18,18,188,0.13298,0.18085,0.07447,0.05851,0.00532,0.0,0.01064,251325.82569,3.89489,4.14849,10393.66667,1.78511,1.59661,2.29828,2.16878,4.98481,5.15024,0.73333,11.26924,715.69085,0.06955,0.71315,0.15426,0.01064,0.05851,0.00532,0.07979,0.00532,0.03191,0.0,0.0,1.33333,3.41667,1.76596,9.6129,1.59353,6.22222,18.77778,0.8273,1.37975,0.05882,0.47059,0.05882,0.30719,0.11765,0.44444,0.05882,0.70068,0.08197,0.67366,0.0,0.70068,0.08197,0.7906,0.06601,0.8496,0.07942,0.21101,0.29358,0.72477,"[3, 3, 5, 3]",3
0.03145,0.0,0.59119,103.99298,0.40881,1.0,1.87234,10.6,0.45283,15,15,159,0.08805,0.10692,0.09434,0.08805,0.0,0.00629,0.0,1289243.43617,3.20966,4.00176,12359.53333,0.7834,0.7834,0.8642,0.8642,4.76159,5.24275,0.0,11.5863,820.52075,0.01217,0.569,0.15723,0.0,0.10692,0.0,0.05031,0.0,0.03145,0.0,0.0,3.75,0.0,1.54348,9.58333,1.36627,5.13333,21.4,1.02011,1.44615,0.35714,1.14286,0.71429,0.44762,0.64286,0.42857,0.57143,0.69609,0.14539,0.68413,0.0,0.69609,0.14539,0.79743,0.08433,0.84231,0.07297,0.07447,0.19149,0.69149,"[2, 2, 4, 2]",4
0.0226,0.0226,0.67797,89.45401,0.32203,1.0,2.09167,6.80769,0.42938,26,26,177,0.10734,0.20339,0.0452,0.0452,0.0,0.0,0.0,592243.05833,3.87432,4.07421,25258.73077,2.30119,2.30119,2.37623,2.37623,4.7495,4.85131,0.3,11.69354,584.47305,0.03821,0.55897,0.0791,0.00565,0.0452,0.0,0.01695,0.0,0.0113,0.0,0.0113,8.0,4.0,2.04878,16.90909,1.30461,5.28846,10.57692,1.1843,2.10526,0.08,0.92,0.48,0.32308,0.72,0.49538,0.52,0.5775,0.23638,0.54259,0.0,0.5775,0.23638,0.71349,0.17508,0.85319,0.10469,0.03333,0.18333,0.475,"[4, 3, 5, 3]",5
0.01176,0.05882,0.54118,88.75651,0.45882,1.0,2.19565,10.625,0.25882,8,8,85,0.14118,0.21176,0.11765,0.10588,0.0,0.0,0.01176,495590.80435,4.21163,4.18009,1289.25,2.3885,2.3885,2.45213,2.45213,5.35542,5.33536,0.4,9.7124,860.81767,0.08235,0.68235,0.11765,0.0,0.10588,0.0,0.01176,0.0,0.0,0.0,0.0,0.0,1.75,2.88889,11.2,1.51087,6.125,21.375,0.8396,1.17949,0.85714,2.57143,0.71429,0.35714,0.42857,0.21429,0.14286,0.74933,0.08831,0.71228,0.0,0.74933,0.08831,0.80054,0.10178,0.82185,0.10619,0.26087,0.1087,0.84783,"[3, 3, 5, 3]",6
0.09091,0.04545,0.47273,81.8672,0.52727,1.2,2.44231,9.16667,0.15455,10,12,110,0.20909,0.18182,0.06364,0.04545,0.00909,0.0,0.00909,175752.44231,4.39898,4.3956,2797.18182,2.61391,2.23233,2.72909,2.71592,5.49873,5.52881,0.61111,10.41276,771.19279,0.09455,0.65091,0.12727,0.0,0.06364,0.0,0.07273,0.0,0.05455,0.0,0.01818,3.4,2.8,2.46154,10.41176,1.26421,5.79167,14.33333,0.7966,0.89655,0.18182,1.09091,0.27273,0.36364,0.27273,0.33333,0.27273,0.72353,0.2044,0.707,0.26978,0.83555,0.06247,0.81176,0.18301,0.84139,0.13638,0.13462,0.42308,1.11538,"[3, 1, 4, 3]",7
0.03448,0.11494,0.54023,93.263,0.45977,1.08333,2.17021,6.69231,0.21839,12,13,87,0.1954,0.17241,0.03448,0.01149,0.0,0.0,0.02299,533066.23404,4.38832,4.30406,36596.76923,1.76223,1.76223,1.71523,1.71523,5.43521,5.46168,0.3,9.82868,749.94744,0.06897,0.66667,0.04598,0.0,0.02299,0.0,0.03448,0.0,0.02299,0.0,0.01149,6.0,3.0,2.38462,10.54545,1.16691,5.92308,9.38462,0.86839,1.175,0.33333,1.5,0.66667,0.41026,0.08333,0.19231,0.08333,0.75166,0.14935,0.69646,0.0,0.74155,0.1475,0.80478,0.16246,0.82859,0.17028,0.19149,0.23404,0.85106,"[2, 1, 3, 3]",8
0.04396,0.0989,0.62637,70.30851,0.37363,1.0,2.38596,8.27273,0.1978,11,11,91,0.16484,0.28571,0.10989,0.04396,0.01099,0.0,0.03297,374332.98246,4.50961,4.44577,4290.18182,2.85636,2.85636,2.76045,2.76045,5.27325,5.20186,0.41667,9.37254,914.21932,0.03297,0.76923,0.14286,0.01099,0.05495,0.0,0.07692,0.0,0.06593,0.0,0.01099,3.0,1.55556,2.375,11.0,1.14268,5.77273,11.72727,0.67894,1.67647,0.3,1.1,0.0,0.09091,0.4,0.34545,0.2,0.79874,0.13758,0.74196,0.0,0.79874,0.13758,0.83232,0.1486,0.85145,0.15468,0.22807,0.29825,0.59649,"[3, 3, 4, 3]",9
