size_features,soma_validacao,soma_teste,soma_teste_full,F1_validacao,KAPPA_validacao,feature_list
1,1.2988140157855343,1.1921888394482663,1.2182965083719943,0.7525689564969968,0.5462450592885375,['grade_BERT']
2,1.2617194329627486,1.184321661834235,1.2004879605851286,0.7393893358753698,0.5223300970873788,"['lex_freq_min', 'grade_BERT']"
3,1.280750760143767,1.1718672253376492,1.188094220059551,0.7462342522486869,0.5345165078950802,"['lex_freq_min', 'dependency_detd_count', 'grade_BERT']"
4,1.280750760143767,1.1394271161913125,1.1615578555332293,0.7462342522486869,0.5345165078950802,"['lex_freq_min', 'ortho_neighbors_q1', 'dependency_detd_count', 'grade_BERT']"
5,1.2708643076410475,1.1367434362302553,1.1665665101425877,0.7436277271241489,0.5272365805168986,"['lex_freq_min', 'ortho_neighbors_q1', 'dependency_detd_count', 'grade_BERT', 'confidence_3']"
6,1.2661465556998954,1.1107907551177822,1.1436294727446406,0.7428270314449176,0.523319524254978,"['lex_freq_min', 'sophisticated_verbs_ratio', 'ortho_neighbors_q1', 'dependency_detd_count', 'grade_BERT', 'confidence_3']"
7,1.2380636108965952,1.1286997071422973,1.1267040208559957,0.7316558439063039,0.5064077669902913,"['conn_ratio', 'lex_freq_min', 'sophisticated_verbs_ratio', 'ortho_neighbors_q1', 'dependency_detd_count', 'grade_BERT', 'confidence_3']"
8,1.20495530050114,1.144978603511545,1.1548251832754173,0.7216263427694518,0.48332895773168816,"['conn_ratio', 'lex_freq_min', 'sophisticated_verbs_ratio', 'ortho_neighbors_q1', 'inflected_infinitive_mood_count', 'dependency_detd_count', 'grade_BERT', 'confidence_3']"
9,1.2247407689254617,1.123407198577174,1.1263115780448758,0.7289724536649484,0.4957683152605131,"['conn_ratio', 'adjacent_refs', 'lex_freq_min', 'sophisticated_verbs_ratio', 'ortho_neighbors_q1', 'inflected_infinitive_mood_count', 'dependency_detd_count', 'grade_BERT', 'confidence_3']"
10,1.2247407689254617,1.1677883931326014,1.1503288705934853,0.7289724536649484,0.4957683152605131,"['conn_ratio', 'verbs_ambiguity', 'adjacent_refs', 'lex_freq_min', 'sophisticated_verbs_ratio', 'ortho_neighbors_q1', 'inflected_infinitive_mood_count', 'dependency_detd_count', 'grade_BERT', 'confidence_3']"
11,1.2294687054224203,1.154492134811731,1.1739569446164504,0.730322508128318,0.49914619729410226,"['conn_ratio', 'verbs_ambiguity', 'adjacent_refs', 'lex_freq_min', 'lex_freq_nouns_rsd', 'sophisticated_verbs_ratio', 'ortho_neighbors_q1', 'inflected_infinitive_mood_count', 'dependency_detd_count', 'grade_BERT', 'confidence_3']"
