size_features,soma_validacao,soma_teste,soma_teste_full,F1_validacao,KAPPA_validacao,feature_list
1,0.2526810330400163,0.16389960084194094,0.15196103469509717,0.22145419834765148,0.03122683469236487,['concrete_ratio']
2,0.35183496811484066,0.3286850917472631,0.33302805846541855,0.2813060008604326,0.07052896725440805,"['ortho_neighbors_avg_freq_dolch', 'concrete_ratio']"
3,0.3626259332054837,0.40270426427518263,0.4226435214924532,0.2833707633729769,0.0792551698325068,"['ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'possessive_pronouns_count']"
4,0.3423515227899397,0.4150524836397943,0.4217479499467649,0.28426411150865466,0.05808741128128503,"['lex_freq_content_max', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'possessive_pronouns_count']"
5,0.5060806272239564,0.511666259423561,0.5488358758101415,0.3475200424615162,0.15856058476244017,"['lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'possessive_pronouns_count']"
6,0.5919986750906298,0.5762018484942701,0.5634783920266173,0.4044161123429416,0.18758256274768814,"['lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'possessive_pronouns_count', 'masculine_gender_count']"
7,0.6542468884398356,0.5929000016577202,0.5796162524630726,0.4316263809405431,0.22262050749929252,"['lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'masculine_gender_count']"
8,0.6980454239212299,0.6573302228401866,0.6361715246089596,0.4552193987294504,0.24282602519177954,"['lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'masculine_gender_count']"
9,0.7048127439908307,0.6549959002015346,0.6818310717411946,0.44998502721688144,0.2548277167739492,"['root_ttr', 'lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'masculine_gender_count']"
10,0.6783458710390917,0.6553527702637076,0.6766003431617429,0.4486276814575375,0.2297181895815542,"['nouns_ambiguity', 'root_ttr', 'lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'masculine_gender_count']"
11,0.6921206086148124,0.6358267100586756,0.6549701800989576,0.45001235190801564,0.2421082567067968,"['nouns_ambiguity', 'root_ttr', 'lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'masculine_gender_count']"
12,0.7061520362371184,0.6625302375545157,0.6406186851686076,0.45373038381546604,0.2524216524216524,"['nouns_ambiguity', 'root_ttr', 'lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count']"
13,0.6676638984385589,0.6658156825415344,0.6732293565467641,0.43706964196997766,0.23059425646858123,"['nouns_ambiguity', 'root_ttr', 'lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'shared_content_ratio']"
14,0.7477057308124992,0.67082118891753,0.6835865810418602,0.4709606625272185,0.27674506828528067,"['nouns_ambiguity', 'root_ttr', 'lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'shared_content_ratio']"
15,0.738633021509431,0.6891079547361951,0.7179037268343023,0.47223143105217463,0.2664015904572564,"['nouns_ambiguity', 'root_ttr', 'lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'reflexive_case_count', 'shared_content_ratio']"
16,0.6864802809573001,0.7109698930243813,0.692192050611588,0.4542124542124542,0.2322678267448458,"['nouns_ambiguity', 'paragraph_length_skewness', 'root_ttr', 'lex_freq_content_max', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'reflexive_case_count', 'shared_content_ratio']"
17,0.7285145756584532,0.6923156246269759,0.6997672638973873,0.47368685888450396,0.25482771677394933,"['nouns_ambiguity', 'paragraph_length_skewness', 'root_ttr', 'lex_freq_content_max', 'p99-p99.5_freq_ratio', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'reflexive_case_count', 'shared_content_ratio']"
18,0.7325993392609014,0.6988330595189776,0.7067662434826056,0.4769965023814689,0.2556028368794325,"['nouns_ambiguity', 'paragraph_length_skewness', 'root_ttr', 'lex_freq_content_max', 'p99-p99.5_freq_ratio', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'reflexive_case_count', 'dialog_quotes', 'shared_content_ratio']"
19,0.6911693622588069,0.7022594902789758,0.7105072384911357,0.45766922062912135,0.23350014162968558,"['nouns_ambiguity', 'paragraph_length_skewness', 'root_ttr', 'lex_freq_content_max', 'p99-p99.5_freq_ratio', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_max', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'reflexive_case_count', 'dialog_quotes', 'shared_content_ratio']"
20,0.7468781660039441,0.7222454195655642,0.7194951441545991,0.48096304664054895,0.2659151193633952,"['nouns_ambiguity', 'paragraph_length_skewness', 'root_ttr', 'lex_freq_content_max', 'p99-p99.5_freq_ratio', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_max', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'reflexive_case_count', 'dependency_tree_depth_min', 'dialog_quotes', 'shared_content_ratio']"
21,0.6457047253063252,0.6826230259068087,0.7034442720210855,0.43670150987224154,0.20900321543408362,"['nouns_ambiguity', 'paragraph_length_skewness', 'root_ttr', 'lex_freq_content_max', 'lex_freq_lemma_median', 'p99-p99.5_freq_ratio', 'p99.5-p99.9_freq_lemma_ratio', 'ortho_neighbors_avg_freq_max', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'reflexive_case_count', 'dependency_tree_depth_min', 'dialog_quotes', 'shared_content_ratio']"
22,0.6669606132248305,0.6507729528212483,0.6880877715400524,0.4464725314995183,0.2204880817253122,"['nouns_ambiguity', 'paragraph_length_skewness', 'root_ttr', 'lex_freq_content_max', 'lex_freq_lemma_median', 'p99-p99.5_freq_ratio', 'p99.5-p99.9_freq_lemma_ratio', 'L1_word_ratio', 'ortho_neighbors_avg_freq_max', 'ortho_neighbors_avg_freq_dolch', 'familiarity_skewness', 'concrete_ratio', 'abstract_ratio', 'fractional_numerals_count', 'possessive_pronouns_count', 'indefinite_pronouns_count', 'present_tense_count', 'masculine_gender_count', 'reflexive_case_count', 'dependency_tree_depth_min', 'dialog_quotes', 'shared_content_ratio']"
